"TableName","RowCount","ColumnCount","Columns"
"AccountHead","256","6","code (INTEGER), name (TEXT), address (TEXT), mobile (TEXT), credit (DOUBLE PRECISION), debit (DOUBLE PRECISION)"
"ADJUSTMENT","11","2","UNIT (INTEGER), ML (INTEGER)"
"BackupDrive","1","2","ID (INTEGER), BakDrv (TEXT)"
"BILLFINAL","3693","19","BILLNO (INTEGER), TABLE_NO (TEXT), WAITER (TEXT), DATE (TIMESTAMP), PAID (INTEGER), TYPE (TEXT), CUST_NAME (TEXT), SERVICE_CHARGE (INTEGER), DISCOUNT (INTEGER), TOTAL (INTEGER), BILLDAY (INTEGER), TIME (TIMESTAMP), CLIENTID (INTEGER), OPERATOR (TEXT), INTIME (TIMESTAMP), CGST (DOUBLE PRECISION), SGST (DOUBLE PRECISION), FOODTOT (INTEGER), SECTIONS (TEXT)"
"BILLFINAL_Dayend","0","19","BILLNO (INTEGER), TABLE_NO (TEXT), WAITER (TEXT), DATE (TIMESTAMP), PAID (INTEGER), TYPE (TEXT), CUST_NAME (TEXT), SERVICE_CHARGE (INTEGER), DISCOUNT (INTEGER), TOTAL (INTEGER), BILLDAY (INTEGER), TIME (TIMESTAMP), CLIENTID (INTEGER), OPERATOR (TEXT), INTIME (TIMESTAMP), CGST (DOUBLE PRECISION), SGST (DOUBLE PRECISION), FOODTOT (INTEGER), SECTIONS (TEXT)"
"BILLKOT","0","11","BILLNO (INTEGER), TABLE_NO (TEXT), WAITER (TEXT), DATE (TIMESTAMP), PAID (INTEGER), PRINT (INTEGER), UID (INTEGER), CLIENTID (INTEGER), OPERATOR (TEXT), BILLREF (TEXT), TOpen (INTEGER)"
"BILLKOT_TBLSHOW","0","11","BILLNO (INTEGER), TABLE_NO (TEXT), WAITER (TEXT), DATE (TIMESTAMP), PAID (INTEGER), PRINT (INTEGER), UID (INTEGER), CLIENTID (INTEGER), OPERATOR (TEXT), BILLREF (TEXT), TOpen (INTEGER)"
"BILLREPORT","0","6","BILLNO (TEXT), TABLE_NO (TEXT), AMOUNT (INTEGER), DATE (TEXT), INTIME (TEXT), OUTTIME (TEXT)"
"BRANDML","741","3","BRAND (TEXT), ML (INTEGER), TOTALML (INTEGER)"
"BtPerCase","12","2","Unit (INTEGER), CaseBott (INTEGER)"
"CancelKot","1389","9","BILLNO (INTEGER), TABLE_NO (TEXT), SRNO (INTEGER), ITEM (TEXT), QTY (INTEGER), RATE (INTEGER), AMT (INTEGER), Date (TIMESTAMP), waiter (TEXT)"
"CashBookOpen","11","3","date (TIMESTAMP), type (TEXT), amt (DOUBLE PRECISION)"
"CashTransfer","1","8","code (INTEGER), amt (DOUBLE PRECISION), date (TIMESTAMP), creditTo (TEXT), crname (TEXT), debit (TEXT), dbname (TEXT), narr (TEXT)"
"cBilNumber","1","4","ID (INTEGER), ExbilNmbr (INTEGER), ExSrNmbr (INTEGER), RefNo (INTEGER)"
"CNTLOOSE","0","9","code (INTEGER), item (TEXT), stock (TEXT), dept (TEXT), type (TEXT), unit (INTEGER), packing (TEXT), TOTALML (INTEGER), BRAND (TEXT)"
"CNTLOOSE_LIVE","757","9","code (TEXT), item (TEXT), stock (TEXT), dept (TEXT), type (TEXT), unit (INTEGER), packing (TEXT), TOTALML (INTEGER), BRAND (TEXT)"
"CNTLOOSE_LIVE_111","0","9","code (TEXT), item (TEXT), stock (TEXT), dept (TEXT), type (TEXT), unit (INTEGER), packing (TEXT), TOTALML (INTEGER), BRAND (TEXT)"
"CNTPACK","0","18","code (INTEGER), item (TEXT), stock (TEXT), dept (TEXT), type (TEXT), unit (INTEGER), packing (TEXT), salerate (INTEGER), RECIEVED (INTEGER), OPENING (INTEGER), OOPEN (INTEGER), SALE (INTEGER), SALELOOSE (INTEGER), CLOSING (INTEGER), CLOSINGLOOSE (INTEGER), BRAND (TEXT), TOTALPACK (INTEGER), TOTALLOOSE (INTEGER)"
